,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.9360942553519175,0.938,2256.065102338791,16.744776725769043,5574.09632396698,0.18999910354614258,0.0009996891021728516,1.0149991512298584,2,True,14
1,LightGBMLarge,0.9246419220699215,0.9156,528.661459684372,3.7379982471466064,3333.083826303482,528.661459684372,3.7379982471466064,3333.083826303482,1,True,13
2,NeuralNetFastAI,0.9220668412136147,0.9208,14.84117841720581,0.3379988670349121,225.0215358734131,14.84117841720581,0.3379988670349121,225.0215358734131,1,True,3
3,LightGBM,0.9172123825658401,0.9132,242.18721079826355,1.601001262664795,1638.8390002250671,242.18721079826355,1.601001262664795,1638.8390002250671,1,True,5
4,LightGBMXT,0.9168181118127214,0.906,134.4142792224884,1.010000467300415,887.6300036907196,134.4142792224884,1.010000467300415,887.6300036907196,1,True,4
5,CatBoost,0.915388880332666,0.8972,5.162996292114258,0.03999900817871094,6667.079850912094,5.162996292114258,0.03999900817871094,6667.079850912094,1,True,8
6,XGBoost,0.9096996765747728,0.9052,57.584616899490356,0.46300482749938965,4267.485146522522,57.584616899490356,0.46300482749938965,4267.485146522522,1,True,11
7,NeuralNetTorch,0.8961805020791622,0.906,17.86411762237549,0.28299975395202637,373.8080017566681,17.86411762237549,0.28299975395202637,373.8080017566681,1,True,12
8,RandomForestGini,0.8342337902356384,0.7788,16.01206064224243,0.17200112342834473,248.294837474823,16.01206064224243,0.17200112342834473,248.294837474823,1,True,6
9,ExtraTreesGini,0.7478546126597875,0.6956,17.827533721923828,0.19699311256408691,83.48903274536133,17.827533721923828,0.19699311256408691,83.48903274536133,1,True,9
10,RandomForestEntr,0.7468442938549207,0.6972,14.207739114761353,0.1530005931854248,371.8611261844635,14.207739114761353,0.1530005931854248,371.8611261844635,1,True,7
11,ExtraTreesEntr,0.7431757277067611,0.6884,16.098435401916504,0.17100262641906738,78.44792103767395,16.098435401916504,0.17100262641906738,78.44792103767395,1,True,10
12,KNeighborsDist,0.3885291852764516,0.2968,1446.357787847519,10.219956636428833,1.713043212890625,1446.357787847519,10.219956636428833,1.713043212890625,1,True,2
13,KNeighborsUnif,0.38788541506237484,0.296,1452.321136713028,10.78377890586853,2.328960657119751,1452.321136713028,10.78377890586853,2.328960657119751,1,True,1
