,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.8197505005390421,0.9792,42.373841285705566,0.2709779739379883,659.9177811145782,42.373841285705566,0.2709779739379883,659.9177811145782,1,True,5
1,LightGBMXT,0.7736639457877714,0.9804,40.240291357040405,0.28407716751098633,642.9516725540161,40.240291357040405,0.28407716751098633,642.9516725540161,1,True,4
2,CatBoost,0.7653688587709842,0.9772,2.9138033390045166,0.07812190055847168,6549.421641111374,2.9138033390045166,0.07812190055847168,6549.421641111374,1,True,8
3,LightGBMLarge,0.6343816417680579,0.9752,14.502377271652222,0.11591219902038574,363.32916712760925,14.502377271652222,0.11591219902038574,363.32916712760925,1,True,13
4,XGBoost,0.48269521022639766,0.976,11.88316559791565,0.10969233512878418,1009.0897982120514,11.88316559791565,0.10969233512878418,1009.0897982120514,1,True,11
5,ExtraTreesEntr,0.45884490990297244,0.9708,5.956542730331421,0.35512614250183105,41.18434524536133,5.956542730331421,0.35512614250183105,41.18434524536133,1,True,10
6,RandomForestGini,0.43645464346219004,0.972,5.477924346923828,0.37328195571899414,301.93418431282043,5.477924346923828,0.37328195571899414,301.93418431282043,1,True,6
7,RandomForestEntr,0.43097489604189126,0.9708,5.322264671325684,0.31196165084838867,527.0753376483917,5.322264671325684,0.31196165084838867,527.0753376483917,1,True,7
8,ExtraTreesGini,0.412068381333744,0.9704,6.062319278717041,0.34125494956970215,43.69572854042053,6.062319278717041,0.34125494956970215,43.69572854042053,1,True,9
9,KNeighborsDist,0.40273217310950254,0.9536,1110.0887413024902,7.8576109409332275,3.3439183235168457,1110.0887413024902,7.8576109409332275,3.3439183235168457,1,True,2
10,KNeighborsUnif,0.4026089634991529,0.9524,1153.1976714134216,8.16045880317688,3.2833709716796875,1153.1976714134216,8.16045880317688,3.2833709716796875,1,True,1
11,NeuralNetFastAI,0.3630864007392577,0.9844,13.541921854019165,0.3510904312133789,211.47184777259827,13.541921854019165,0.3510904312133789,211.47184777259827,1,True,3
12,WeightedEnsemble_L2,0.35219159094409364,0.9848,30.54813814163208,0.6503088474273682,824.6477262973785,0.09418392181396484,0.0,0.8932113647460938,2,True,14
13,NeuralNetTorch,0.22386570152471894,0.9828,16.91203236579895,0.29921841621398926,612.2826671600342,16.91203236579895,0.29921841621398926,612.2826671600342,1,True,12
