,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.33233944247651315,0.9792,38.04763746261597,0.2709779739379883,659.9177811145782,38.04763746261597,0.2709779739379883,659.9177811145782,1,True,5
1,LightGBMLarge,0.3180163252733713,0.9752,11.829147338867188,0.11591219902038574,363.32916712760925,11.829147338867188,0.11591219902038574,363.32916712760925,1,True,13
2,LightGBMXT,0.31758201139688896,0.9804,38.21357750892639,0.28407716751098633,642.9516725540161,38.21357750892639,0.28407716751098633,642.9516725540161,1,True,4
3,CatBoost,0.3174403203449869,0.9772,2.8238980770111084,0.07812190055847168,6549.421641111374,2.8238980770111084,0.07812190055847168,6549.421641111374,1,True,8
4,RandomForestEntr,0.3172431849684275,0.9708,4.135661363601685,0.31196165084838867,527.0753376483917,4.135661363601685,0.31196165084838867,527.0753376483917,1,True,7
5,RandomForestGini,0.3172431849684275,0.972,4.331659555435181,0.37328195571899414,301.93418431282043,4.331659555435181,0.37328195571899414,301.93418431282043,1,True,6
6,ExtraTreesGini,0.3172431849684275,0.9704,4.689512252807617,0.34125494956970215,43.69572854042053,4.689512252807617,0.34125494956970215,43.69572854042053,1,True,9
7,ExtraTreesEntr,0.3172431849684275,0.9708,4.788332462310791,0.35512614250183105,41.18434524536133,4.788332462310791,0.35512614250183105,41.18434524536133,1,True,10
8,KNeighborsUnif,0.3172431849684275,0.9524,1161.563740491867,8.16045880317688,3.2833709716796875,1161.563740491867,8.16045880317688,3.2833709716796875,1,True,1
9,KNeighborsDist,0.3172431849684275,0.9536,1168.7195053100586,7.8576109409332275,3.3439183235168457,1168.7195053100586,7.8576109409332275,3.3439183235168457,1,True,2
10,XGBoost,0.1516433081780379,0.976,6.020338296890259,0.10969233512878418,1009.0897982120514,6.020338296890259,0.10969233512878418,1009.0897982120514,1,True,11
11,NeuralNetTorch,0.06585245649160634,0.9828,14.985442638397217,0.29921841621398926,612.2826671600342,14.985442638397217,0.29921841621398926,612.2826671600342,1,True,12
12,WeightedEnsemble_L2,0.06582781456953643,0.9848,26.17377758026123,0.6503088474273682,824.6477262973785,0.09607577323913574,0.0,0.8932113647460938,2,True,14
13,NeuralNetFastAI,0.06581241336824273,0.9844,11.092259168624878,0.3510904312133789,211.47184777259827,11.092259168624878,0.3510904312133789,211.47184777259827,1,True,3
