,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.9656759217396151,0.9864,119.42266654968262,0.37500762939453125,935.0807683467865,119.42266654968262,0.37500762939453125,935.0807683467865,1,True,4
1,NeuralNetTorch,0.9634153139148154,0.9852,21.329625844955444,0.35860466957092285,653.7602939605713,21.329625844955444,0.35860466957092285,653.7602939605713,1,True,9
2,LightGBMXT,0.9630591907643332,0.9844,22.47352957725525,0.21796321868896484,502.07013487815857,22.47352957725525,0.21796321868896484,502.07013487815857,1,True,3
3,RandomForestEntr,0.9589529360031215,0.978,5.935712575912476,0.16398000717163086,560.3038794994354,5.935712575912476,0.16398000717163086,560.3038794994354,1,True,6
4,WeightedEnsemble_L2,0.9564198165501266,0.9876,1635.6770131587982,9.929065704345703,1931.281438589096,0.1956017017364502,0.0009999275207519531,0.6120023727416992,2,True,10
5,RandomForestGini,0.9430171991998068,0.9768,6.975886106491089,0.1405789852142334,290.36938405036926,6.975886106491089,0.1405789852142334,290.36938405036926,1,True,5
6,ExtraTreesEntr,0.9279237710654585,0.9764,8.910074234008789,0.1809554100036621,43.68897581100464,8.910074234008789,0.1809554100036621,43.68897581100464,1,True,8
7,ExtraTreesGini,0.9263227652498126,0.9776,7.929804801940918,0.20096373558044434,46.88898730278015,7.929804801940918,0.20096373558044434,46.88898730278015,1,True,7
8,KNeighborsUnif,0.9172958175658518,0.9648,1501.9892990589142,9.17969822883606,4.29864239692688,1501.9892990589142,9.17969822883606,4.29864239692688,1,True,1
9,KNeighborsDist,0.9171626584748019,0.9656,1479.8234281539917,8.85291075706482,4.570002555847168,1479.8234281539917,8.85291075706482,4.570002555847168,1,True,2
