,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.31729862929308483,0.9792,49.08200430870056,0.23000264167785645,615.5461115837097,49.08200430870056,0.23000264167785645,615.5461115837097,1,True,5
1,CatBoost,0.3172431849684275,0.9772,4.303996562957764,0.06899738311767578,5964.571403264999,4.303996562957764,0.06899738311767578,5964.571403264999,1,True,8
2,RandomForestEntr,0.3172431849684275,0.9708,4.9768946170806885,0.11800265312194824,500.22644448280334,4.9768946170806885,0.11800265312194824,500.22644448280334,1,True,7
3,ExtraTreesEntr,0.3172431849684275,0.9708,4.987408399581909,0.15796399116516113,33.94122004508972,4.987408399581909,0.15796399116516113,33.94122004508972,1,True,10
4,RandomForestGini,0.3172431849684275,0.972,5.175008058547974,0.12800383567810059,254.34433603286743,5.175008058547974,0.12800383567810059,254.34433603286743,1,True,6
5,ExtraTreesGini,0.3172431849684275,0.9704,5.2980053424835205,0.1569538116455078,37.26125931739807,5.2980053424835205,0.1569538116455078,37.26125931739807,1,True,9
6,LightGBMLarge,0.3172431849684275,0.9752,15.477083921432495,0.09499907493591309,314.7670040130615,15.477083921432495,0.09499907493591309,314.7670040130615,1,True,13
7,LightGBMXT,0.3172431849684275,0.9804,44.62044286727905,0.24199938774108887,634.5681595802307,44.62044286727905,0.24199938774108887,634.5681595802307,1,True,4
8,KNeighborsDist,0.3172431849684275,0.9536,1491.7816941738129,9.279684782028198,3.4266207218170166,1491.7816941738129,9.279684782028198,3.4266207218170166,1,True,2
9,KNeighborsUnif,0.3172431849684275,0.9524,1730.5498764514923,10.271490573883057,4.1616597175598145,1730.5498764514923,10.271490573883057,4.1616597175598145,1,True,1
10,XGBoost,0.09688587709841368,0.976,6.032997369766235,0.09099769592285156,895.402663230896,6.032997369766235,0.09099769592285156,895.402663230896,1,True,11
11,NeuralNetFastAI,0.06583705529031264,0.9844,17.421162605285645,0.33800458908081055,230.59757328033447,17.421162605285645,0.33800458908081055,230.59757328033447,1,True,3
12,NeuralNetTorch,0.06583705529031264,0.9828,20.54110813140869,0.2499990463256836,501.89458894729614,20.54110813140869,0.2499990463256836,501.89458894729614,1,True,12
13,WeightedEnsemble_L2,0.06583705529031264,0.9848,38.14226746559143,0.5880036354064941,733.2501258850098,0.17999672889709473,0.0,0.7579636573791504,2,True,14
