,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,NeuralNetTorch,0.9671868017045491,0.9912,33.77520823478699,0.3833343982696533,949.6835029125214,33.77520823478699,0.3833343982696533,949.6835029125214,1,True,5
1,WeightedEnsemble_L2,0.9671868017045491,0.9912,33.897202253341675,0.3833343982696533,950.1061582565308,0.1219940185546875,0.0,0.4226553440093994,2,True,6
2,RandomForestEntr,0.9619718132549459,0.9796,7.453636646270752,0.3876521587371826,691.398330450058,7.453636646270752,0.3876521587371826,691.398330450058,1,True,2
3,RandomForestGini,0.9619340462897104,0.9784,7.973329305648804,0.31272387504577637,368.9267773628235,7.973329305648804,0.31272387504577637,368.9267773628235,1,True,1
4,ExtraTreesGini,0.9321359107188942,0.9832,8.609644174575806,0.3437533378601074,51.78144717216492,8.609644174575806,0.3437533378601074,51.78144717216492,1,True,3
5,ExtraTreesEntr,0.9319879901050551,0.9804,9.646436929702759,0.3319580554962158,51.91683387756348,9.646436929702759,0.3319580554962158,51.91683387756348,1,True,4
