,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBMLarge,0.9722317353375218,0.984,47.022878646850586,0.3124971389770508,1481.1347904205322,47.022878646850586,0.3124971389770508,1481.1347904205322,1,True,13
1,XGBoost,0.9696725343561835,0.9828,31.896473169326782,0.17262005805969238,2029.651065826416,31.896473169326782,0.17262005805969238,2029.651065826416,1,True,11
2,CatBoost,0.9666338723637428,0.9724,3.1064159870147705,0.03138446807861328,1113.1192581653595,3.1064159870147705,0.03138446807861328,1113.1192581653595,1,True,8
3,LightGBM,0.9659209076134673,0.984,25.3949716091156,0.17682647705078125,678.4554333686829,25.3949716091156,0.17682647705078125,678.4554333686829,1,True,5
4,LightGBMXT,0.965559755163546,0.9876,44.104329347610474,0.36232900619506836,1049.6074011325836,44.104329347610474,0.36232900619506836,1049.6074011325836,1,True,4
5,NeuralNetTorch,0.9646880078706327,0.9852,22.34425187110901,0.3444180488586426,510.0325815677643,22.34425187110901,0.3444180488586426,510.0325815677643,1,True,12
6,RandomForestEntr,0.9602576635927197,0.9732,6.072259187698364,0.31250429153442383,473.8790850639343,6.072259187698364,0.31250429153442383,473.8790850639343,1,True,7
7,NeuralNetFastAI,0.950301064154374,0.988,17.40096092224121,0.4587578773498535,225.206524848938,17.40096092224121,0.4587578773498535,225.206524848938,1,True,3
8,WeightedEnsemble_L2,0.950301064154374,0.988,17.49546241760254,0.4587578773498535,226.03643918037415,0.09450149536132812,0.0,0.8299143314361572,2,True,14
9,RandomForestGini,0.94496161198528,0.9744,6.48663592338562,0.2818734645843506,262.17331743240356,6.48663592338562,0.2818734645843506,262.17331743240356,1,True,6
10,ExtraTreesGini,0.9288778744310292,0.9764,7.657867431640625,0.29688310623168945,45.18298387527466,7.657867431640625,0.29688310623168945,45.18298387527466,1,True,9
11,ExtraTreesEntr,0.9281649096807537,0.9748,7.621900796890259,0.2860541343688965,42.407039642333984,7.621900796890259,0.2860541343688965,42.407039642333984,1,True,10
12,KNeighborsUnif,0.9166858658629987,0.9544,1259.0049288272858,8.072593688964844,4.472970008850098,1259.0049288272858,8.072593688964844,4.472970008850098,1,True,1
13,KNeighborsDist,0.916648505264731,0.9556,1264.7275807857513,8.012984037399292,4.755810976028442,1264.7275807857513,8.012984037399292,4.755810976028442,1,True,2
